"","sector","protein_len","gene.length..nt.","cog_name","functional_category_desc"
"489","S",139,420,"FoF1-type ATP synthase, epsilon subunit","Energy production and conversion"
"70","C",460,1383,"FoF1-type ATP synthase, beta subunit","Energy production and conversion"
"NA.2","U",NA,NA,NA,NA
"1157","C",156,471,"FoF1-type ATP synthase, membrane subunit b or b'","Energy production and conversion"
"288","C",287,864,"FoF1-type ATP synthase, gamma subunit","Energy production and conversion"
"1159","U",177,534,"FoF1-type ATP synthase, delta subunit","Energy production and conversion"
"3474","O",417,1254,"Alanine-alpha-ketoisovalerate (or valine-pyruvate) aminotransferase","Amino acid transport and metabolism"
"1216","S",222,669,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain","Signal transduction mechanisms"
"1721","A",156,471,"Peroxiredoxin","Posttranslational modification, protein turnover, chaperones"
"1429","R",490,1473,"Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase","Lipid transport and metabolism"
"2484","S",158,477,"Bacterioferritin (cytochrome b1)","Inorganic ion transport and metabolism"
"2748","S",479,1440,"Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase","Carbohydrate transport and metabolism"
"1948","S",765,2298,"Periplasmic beta-glucosidase and related glycosidases","Carbohydrate transport and metabolism"
"712","A",346,1041,"Biotin synthase or related enzyme","Coenzyme transport and metabolism"
"NA.3","R",NA,NA,NA,NA
"3520","A",614,1845,"Outer membrane cobalamin receptor protein BtuB","Coenzyme transport and metabolism"
"531","S",183,552,"Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides","Defense mechanisms"
"2410","S",196,591,"ATP:corrinoid adenosyltransferase","Coenzyme transport and metabolism"
"399","A",220,663,"Carbonic anhydrase","Inorganic ion transport and metabolism"
"716","U",382,1149,"Carbamoylphosphate synthase small subunit","Amino acid transport and metabolism"
"643","A",1073,3222,"Carbamoylphosphate synthase large subunit","Amino acid transport and metabolism"
"2614","A",382,1149,"Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases","Lipid transport and metabolism"
"1039","C",654,1965,"Chemotaxis protein histidine kinase CheA","Signal transduction mechanisms"
"2541","S",349,1050,"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains","Signal transduction mechanisms"
"1865","C",286,861,"Methylase of chemotaxis methyl-accepting proteins","Signal transduction mechanisms"
"1363","C",167,504,"Chemotaxis signal transduction protein CheW","Signal transduction mechanisms"
"1284","C",129,390,"CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F","Signal transduction mechanisms"
"3132","C",214,645,"Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P","Cell motility"
"3615","U",663,1992,"Outer membrane receptor for ferrienterochelin and colicins","Inorganic ion transport and metabolism"
"789","S",758,2277,"ATP-dependent Clp protease, ATP-binding subunit ClpA","Posttranslational modification, protein turnover, chaperones"
"790","S",857,2574,"ATP-dependent Clp protease, ATP-binding subunit ClpA","Posttranslational modification, protein turnover, chaperones"
"1196","A",207,624,"ATP-dependent protease ClpP, protease subunit","Posttranslational modification, protein turnover, chaperones"
"1718","O",424,1275,"ATP-dependent protease Clp, ATPase subunit ClpX","Posttranslational modification, protein turnover, chaperones"
"394","A",227,684,"Cytidylate kinase","Nucleotide transport and metabolism"
"2607","U",247,744,"Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG","Coenzyme transport and metabolism"
"NA.4","A",NA,NA,NA,NA
"554","U",427,1284,"Cytosine/adenosine deaminase or related metal-dependent hydrolase","Nucleotide transport and metabolism"
"2590","O",834,2505,"Cation-transporting P-type ATPase","Inorganic ion transport and metabolism"
"937","R",316,951,"Mg2+ and Co2+ transporter CorA","Inorganic ion transport and metabolism"
"NA.5","R",NA,NA,NA,NA
"NA.6","R",NA,NA,NA,NA
"1215","S",232,699,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain","Signal transduction mechanisms"
"NA.7","A",NA,NA,NA,NA
"1076","S",210,633,"cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases","Signal transduction mechanisms"
"2482","A",169,510,"Phosphotransferase system IIA component","Carbohydrate transport and metabolism"
"1785","R",70,213,"Cold shock protein, CspA family","Transcription"
"1784","R",69,210,"Cold shock protein, CspA family","Transcription"
"1778","S",74,225,"Cold shock protein, CspA family","Transcription"
"1777","C",69,210,"Cold shock protein, CspA family","Transcription"
"2309","C",701,2106,"Carbon starvation protein CstA (peptide/pyruvate transporter)","Energy production and conversion"
"2423","A",516,1551,"Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA)","Cell cycle control, cell division, chromosome partitioning"
"3375","U",1047,3144,"Cu/Ag efflux pump CusA","Inorganic ion transport and metabolism"
"1386","U",407,1224,"Multidrug efflux pump subunit AcrA (membrane-fusion protein)","Cell wall/membrane/envelope biogenesis"
"2003","R",457,1374,"Outer membrane protein TolC","Cell wall/membrane/envelope biogenesis"
"1206","O",227,684,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain","Signal transduction mechanisms"
"2308","R",106,321,"Fe-S cluster assembly protein CyaY, frataxin homolog","Inorganic ion transport and metabolism"
"1569","C",470,1413,"L-asparagine transporter or related permease","Amino acid transport and metabolism"
"1772","S",522,1569,"Cytochrome bd-type quinol oxidase, subunit 1","Energy production and conversion"
"2075","O",315,948,"Heme/copper-type cytochrome/quinol oxidase, subunit 2","Energy production and conversion"
"1384","U",663,1992,"Heme/copper-type cytochrome/quinol oxidase, subunit 1","Energy production and conversion"
"1575","U",365,1098,"ABC-type sulfate/molybdate transport systems, ATPase component","Inorganic ion transport and metabolism"
"872","C",324,975,"DNA-binding transcriptional regulator, LysR family","Transcription"
"763","U",201,606,"Adenylylsulfate kinase or related kinase","Inorganic ion transport and metabolism"
"220","U",302,909,"3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme","Amino acid transport and metabolism"
"1484","A",273,822,"Serine acetyltransferase","Amino acid transport and metabolism"
"221","U",244,735,"3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme","Amino acid transport and metabolism"
"194","U",570,1713,"Sulfite reductase, beta subunit (hemoprotein)","Inorganic ion transport and metabolism"
"510","U",599,1800,"Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases","Nucleotide transport and metabolism"
"37","O",323,972,"Cysteine synthase","Amino acid transport and metabolism"
"38","R",303,912,"Cysteine synthase","Amino acid transport and metabolism"
"2874","U",475,1428,"Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family","Inorganic ion transport and metabolism"
"3499","O",338,1017,"ABC-type sulfate transport system, periplasmic component","Inorganic ion transport and metabolism"
"277","A",461,1386,"Cysteinyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"2116","U",403,1212,"D-alanyl-D-alanine carboxypeptidase","Cell wall/membrane/envelope biogenesis"
"2117","O",400,1203,"D-alanyl-D-alanine carboxypeptidase","Cell wall/membrane/envelope biogenesis"
"3223","O",428,1287,"Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain","Cell cycle control, cell division, chromosome partitioning"
"454","S",292,879,"4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase","Amino acid transport and metabolism"
"401","A",273,822,"4-hydroxy-tetrahydrodipicolinate reductase","Amino acid transport and metabolism"
"2454","A",274,825,"Tetrahydrodipicolinate N-succinyltransferase","Amino acid transport and metabolism"
"468","S",681,2046,"Zn-dependent oligopeptidase, M3 family","Posttranslational modification, protein turnover, chaperones"
"NA.8","S",NA,NA,NA,NA
"2723","O",328,987,"1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family","Amino acid transport and metabolism"
"1681","R",364,1095,"D-alanine-D-alanine ligase or related ATP-grasp enzyme","Cell wall/membrane/envelope biogenesis"
"1680","A",306,921,"D-alanine-D-alanine ligase or related ATP-grasp enzyme","Cell wall/membrane/envelope biogenesis"
"732","R",629,1890,"Superfamily II DNA and RNA helicase","Replication, recombination and repair"
"313","R",169,510,"Peptide deformylase","Translation, ribosomal structure and biogenesis"
"363","S",474,1425,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain","Posttranslational modification, protein turnover, chaperones"
"364","S",455,1368,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain","Posttranslational modification, protein turnover, chaperones"
"1444","S",407,1224,"Phosphopentomutase","Carbohydrate transport and metabolism"
"376","S",259,780,"Deoxyribose-phosphate aldolase","Nucleotide transport and metabolism"
"1326","C",239,720,"Purine-nucleoside phosphorylase","Nucleotide transport and metabolism"
"2701","A",356,1071,"Dihydroxyacetone kinase","Carbohydrate transport and metabolism"
"2700","A",210,633,"Dihydroxyacetone kinase","Carbohydrate transport and metabolism"
"1541","U",472,1419,"Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)","Carbohydrate transport and metabolism"
"2133","O",151,456,"RNA polymerase-binding transcription factor DksA","Transcription"
"380","A",571,1716,"FAD/FMN-containing lactate dehydrogenase/glycolate oxidase","Energy production and conversion"
"928","R",467,1404,"Chromosomal replication initiation ATPase DnaA","Replication, recombination and repair"
"420","R",471,1416,"Replicative DNA helicase","Replication, recombination and repair"
"680","R",376,1131,"DnaJ-class molecular chaperone with C-terminal Zn finger domain","Posttranslational modification, protein turnover, chaperones"
"617","U",638,1917,"Molecular chaperone DnaK (HSP70)","Posttranslational modification, protein turnover, chaperones"
"926","O",366,1101,"DNA polymerase III sliding clamp (beta) subunit, PCNA homolog","Replication, recombination and repair"
"1224","O",535,1608,"ABC-type transport system, periplasmic component","Amino acid transport and metabolism"
"1662","S",300,903,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component","Amino acid transport and metabolism"
"624","O",327,984,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component","Amino acid transport and metabolism"
"3582","C",334,1005,"ABC-type oligopeptide transport system, ATPase component","Amino acid transport and metabolism"
"1281","A",167,504,"DNA-binding ferritin-like protein (oxidative damage protectant)","Inorganic ion transport and metabolism"
"2088","U",208,627,"Protein thiol-disulfide isomerase DsbC","Posttranslational modification, protein turnover, chaperones"
"1234","O",151,456,"dUTP pyrophosphatase (dUTPase)","Nucleotide transport and metabolism"
"1633","U",620,1863,"Deoxyxylulose-5-phosphate synthase","Coenzyme transport and metabolism"
"3717","S",48,147,"Predicted small secreted protein","Function unknown"
"1314","A",213,642,"2-keto-3-deoxy-6-phosphogluconate aldolase","Carbohydrate transport and metabolism"
"296","U",188,567,"Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)","Translation, ribosomal structure and biogenesis"
"3564","S",101,306,"Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family","Translation, ribosomal structure and biogenesis"
"3148","O",217,654,"Glyoxalase ElbB, DJ-1 superfamily","Defense mechanisms"
"2029","C",390,1173,"Multidrug resistance efflux pump EmrA","Defense mechanisms"
"NA.9","O",NA,NA,NA,NA
"NA.10","A",NA,NA,NA,NA
"NA.11","U",NA,NA,NA,NA
"188","A",432,1299,"Enolase","Carbohydrate transport and metabolism"
"1452","U",536,1611,"EntE, 2,3-dihydroxybenzoate-AMP synthase component of non-ribosomal peptide synthetase","Secondary metabolites biosynthesis, transport and catabolism"
"1636","U",301,906,"GTPase Era, involved in 16S rRNA processing","Translation, ribosomal structure and biogenesis"
"431","O",114,345,"Fe-S cluster assembly iron-binding protein IscA","Posttranslational modification, protein turnover, chaperones"
"1324","U",244,735,"Biopolymer transport protein ExbB/TolQ","Intracellular trafficking, secretion, and vesicular transport"
"1245","R",172,519,"3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase","Lipid transport and metabolism"
"419","O",406,1221,"3-oxoacyl-(acyl-carrier-protein) synthase","Lipid transport and metabolism"
"460","A",309,930,"Malonyl CoA-acyl carrier protein transacylase","Lipid transport and metabolism"
"418","O",413,1242,"3-oxoacyl-(acyl-carrier-protein) synthase","Lipid transport and metabolism"
"1462","O",244,735,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family","Lipid transport and metabolism"
"461","O",317,954,"3-oxoacyl-[acyl-carrier-protein] synthase III","Lipid transport and metabolism"
"981","A",262,789,"Enoyl-[acyl-carrier-protein] reductase FabI","Lipid transport and metabolism"
"1244","R",151,456,"3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase","Lipid transport and metabolism"
"235","S",387,1164,"Acetyl-CoA acetyltransferase","Lipid transport and metabolism"
"1458","S",729,2190,"Enoyl-CoA hydratase/carnithine racemase","Lipid transport and metabolism"
"439","S",561,1686,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)","Lipid transport and metabolism"
"2300","S",814,2445,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB","Lipid transport and metabolism"
"2381","S",446,1347,"Long-chain fatty acid transport protein","Lipid transport and metabolism"
"2467","O",239,720,"DNA-binding transcriptional regulator, FadR family","Transcription"
"248","A",359,1080,"Fructose/tagatose bisphosphate aldolase","Carbohydrate transport and metabolism"
"2203","A",350,1053,"Fructose-bisphosphate aldolase class Ia, DhnA family","Carbohydrate transport and metabolism"
"198","U",332,999,"Fructose-1,6-bisphosphatase","Carbohydrate transport and metabolism"
"1009","R",111,336,"Ferredoxin","Energy production and conversion"
"788","R",453,1362,"Signal recognition particle GTPase","Intracellular trafficking, secretion, and vesicular transport"
"2078","R",747,2244,"Outer membrane receptor protein, Fe transport","Inorganic ion transport and metabolism"
"2879","R",98,297,"DNA-binding protein Fis (factor for inversion stimulation)","Transcription"
"3618","U",760,2283,"Outer membrane receptor for monomeric catechols","Inorganic ion transport and metabolism"
"794","U",206,621,"FKBP-type peptidyl-prolyl cis-trans isomerase","Posttranslational modification, protein turnover, chaperones"
"793","S",270,813,"FKBP-type peptidyl-prolyl cis-trans isomerase","Posttranslational modification, protein turnover, chaperones"
"1485","U",149,450,"Peptidyl-prolyl cis-trans isomerase, FKBP type","Posttranslational modification, protein turnover, chaperones"
"1164","U",176,531,"Flavodoxin","Energy production and conversion"
"2147","C",402,1209,"Flagellar hook protein FlgE","Cell motility"
"3625","C",260,783,"Flagellar basal body rod protein FlgG","Cell motility"
"2378","C",232,699,"Flagellar basal body L-ring protein FlgH","Cell motility"
"2125","A",365,1098,"Flagellar basal body P-ring protein FlgI","Cell motility"
"1752","C",547,1644,"Flagellar hook-associated protein FlgK","Cell motility"
"1851","C",317,954,"Flagellin and related hook-associated protein FlgL","Cell motility"
"2756","C",97,294,"Negative regulator of flagellin synthesis (anti-sigma28 factor)","Transcription"
"3274","C",138,417,"Flagellar biosynthesis/type III secretory pathway chaperone FlgN","Cell motility"
"1693","C",239,720,"DNA-directed RNA polymerase specialized sigma subunit","Transcription"
"1852","C",498,1497,"Flagellin and related hook-associated protein FlgL","Cell motility"
"1853","C",468,1407,"Flagellar capping protein FliD","Cell motility"
"2169","C",552,1659,"Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ","Cell motility"
"2002","C",331,996,"Flagellar motor switch protein FliG","Cell motility"
"1836","C",228,687,"Flagellar biosynthesis/type III secretory pathway protein FliH","Cell motility"
"1634","C",457,1374,"Flagellar biosynthesis/type III secretory pathway ATPase FliI","Cell motility"
"2038","U",154,465,"Flagellar basal body-associated protein FliL","Cell motility"
"2223","C",334,1005,"Flagellar motor switch protein FliM","Cell motility"
"2242","C",137,414,"Flagellar motor switch/type III secretory pathway protein FliN","Cell motility"
"1983","C",136,411,"Flagellin-specific chaperone FliS","Cell motility"
"NA.12","C",NA,NA,NA,NA
"NA.13","C",NA,NA,NA,NA
"287","U",315,948,"Methionyl-tRNA formyltransferase","Translation, ribosomal structure and biogenesis"
"1074","O",250,753,"cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases","Signal transduction mechanisms"
"2007","R",122,369,"Dihydroneopterin aldolase","Coenzyme transport and metabolism"
"245","O",288,867,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase","Coenzyme transport and metabolism"
"416","A",222,669,"GTP cyclohydrolase I","Coenzyme transport and metabolism"
"406","U",282,849,"Dihydropteroate synthase","Coenzyme transport and metabolism"
"2006","S",120,363,"Dihydroneopterin aldolase","Coenzyme transport and metabolism"
"791","A",233,702,"NAD(P)H-flavin reductase","Coenzyme transport and metabolism"
"1507","O",369,1110,"Zn-dependent alcohol/formaldehyde dehydrogenase","Energy production and conversion"
"298","R",185,558,"Ribosome recycling factor","Translation, ribosomal structure and biogenesis"
"1975","A",414,1245,"Dipeptidyl aminopeptidase/acylaminoacyl peptidase","Amino acid transport and metabolism"
"1994","S",165,498,"Ferritin","Inorganic ion transport and metabolism"
"1397","S",420,1263,"Cell division ATPase FtsA","Cell cycle control, cell division, chromosome partitioning"
"2863","R",222,669,"Cell division ATPase FtsE","Cell cycle control, cell division, chromosome partitioning"
"655","O",644,1935,"ATP-dependent Zn proteases","Posttranslational modification, protein turnover, chaperones"
"807","O",497,1494,"Signal recognition particle GTPase FtsY","Intracellular trafficking, secretion, and vesicular transport"
"266","S",383,1152,"Cell division GTPase FtsZ","Cell cycle control, cell division, chromosome partitioning"
"2205","C",548,1647,"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain","Energy production and conversion"
"145","S",467,1404,"Fumarate hydratase class II","Energy production and conversion"
"1185","O",148,447,"Fe2+ or Zn2+ uptake regulation protein Fur/Zur","Inorganic ion transport and metabolism"
"676","R",704,2115,"Translation elongation factor EF-G, a GTPase","Translation, ribosomal structure and biogenesis"
"201","S",426,1281,"Acetylornithine aminotransferase/4-aminobutyrate aminotransferase","Amino acid transport and metabolism"
"1550","U",338,1017,"UDP-glucose 4-epimerase","Cell wall/membrane/envelope biogenesis"
"193","A",382,1149,"Galactokinase","Carbohydrate transport and metabolism"
"2351","U",346,1041,"Galactose mutarotase or related enzyme","Carbohydrate transport and metabolism"
"1548","U",348,1047,"Galactose-1-phosphate uridylyltransferase","Carbohydrate transport and metabolism"
"1707","A",302,909,"UTP-glucose-1-phosphate uridylyltransferase","Cell wall/membrane/envelope biogenesis"
"72","A",331,996,"Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase","Carbohydrate transport and metabolism"
"NA.14","U",NA,NA,NA,NA
"557","A",957,2874,"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain","Amino acid transport and metabolism"
"558","A",364,1095,"Glycine cleavage system protein T (aminomethyltransferase)","Amino acid transport and metabolism"
"463","C",447,1344,"Glutamate dehydrogenase/leucine dehydrogenase","Amino acid transport and metabolism"
"140","O",312,939,"Phosphoglycerate dehydrogenase or related dehydrogenase","Coenzyme transport and metabolism"
"1496","S",324,975,"Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase","Energy production and conversion"
"2601","C",723,2172,"Malate synthase","Energy production and conversion"
"410","S",477,1434,"Glycogen synthase","Carbohydrate transport and metabolism"
"409","A",728,2187,"1,4-alpha-glucan branching enzyme","Carbohydrate transport and metabolism"
"629","C",431,1296,"Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase)","Carbohydrate transport and metabolism"
"74","A",815,2448,"Glucan phosphorylase","Carbohydrate transport and metabolism"
"1365","S",321,966,"Glucokinase","Carbohydrate transport and metabolism"
"1563","S",445,1338,"Phosphomannomutase","Carbohydrate transport and metabolism"
"630","U",609,1830,"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains","Cell wall/membrane/envelope biogenesis"
"1704","A",456,1371,"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase","Cell wall/membrane/envelope biogenesis"
"219","A",469,1410,"Glutamine synthetase","Amino acid transport and metabolism"
"479","S",112,339,"Nitrogen regulatory protein PII","Signal transduction mechanisms"
"2551","A",469,1410,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains","Signal transduction mechanisms"
"1355","O",248,747,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain","Amino acid transport and metabolism"
"1587","A",240,723,"ABC-type polar amino acid transport system, ATPase component","Amino acid transport and metabolism"
"10","U",554,1665,"Glutamyl- or glutaminyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"855","A",281,846,"Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)","Carbohydrate transport and metabolism"
"809","S",502,1509,"Glycerol kinase","Energy production and conversion"
"1966","A",336,1011,"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein","Carbohydrate transport and metabolism"
"515","S",427,1284,"Citrate synthase","Energy production and conversion"
"84","U",1486,4554,"Glutamate synthase domain 1","Amino acid transport and metabolism"
"698","U",472,1419,"NADPH-dependent glutamate synthase beta chain or related oxidoreductase","Amino acid transport and metabolism"
"1354","S",302,909,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain","Amino acid transport and metabolism"
"1247","C",246,741,"ABC-type amino acid transport system, permease component","Amino acid transport and metabolism"
"1586","S",241,726,"ABC-type polar amino acid transport system, ATPase component","Amino acid transport and metabolism"
"11","O",471,1416,"Glutamyl- or glutaminyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"143","A",417,1254,"Glycine/serine hydroxymethyltransferase","Amino acid transport and metabolism"
"1228","R",303,912,"Glycyl-tRNA synthetase, alpha subunit","Translation, ribosomal structure and biogenesis"
"1227","U",689,2070,"Glycyl-tRNA synthetase, beta subunit","Translation, ribosomal structure and biogenesis"
"NA.15","O",NA,NA,NA,NA
