"","gene","locus","gene.length..nt."
"208","atpD","b3732",1383
"209","atpE","b3737",240
"210","atpF","b3736",471
"211","atpG","b3733",864
"212","atpH","b3735",534
"213","atpI","b3739",381
"214","avtA","b3572",1254
"215","azoR","b1412",606
"216","azuC","b4663",87
"217","bacA","b3057",822
"218","baeR","b2079",723
"219","baeS","b2078",1404
"220","bamA","b0177",2433
"221","bamB","b2512",1179
"222","bamC","b2477",1035
"223","bamD","b2595",738
"224","bamE","b2617",342
"225","barA","b2786",2757
"226","basR","b4113",669
"227","basS","b4112",1092
"228","bax","b3570",825
"229","bcp","b2480",471
"230","bcr","b2182",1191
"231","bcsA","b3533",2619
"232","bcsB","b3532",2340
"233","bcsC","b3530",3474
"234","bcsE","b3536",1572
"235","bcsF","b3537",192
"236","bcsG","b3538",1680
"237","bcsQ","b3534",729
"238","bcsZ","b3531",1107
"239","bdcA","b4249",714
"240","bdcR","b4251",594
"241","bdm","b1481",216
"242","bepA","b2494",1464
"243","betA","b0311",1671
"244","betB","b0312",1473
"245","betI","b0313",588
"246","betT","b0314",2034
"247","bfd","b3337",195
"248","bfr","b3336",477
"249","bglA","b2901",1440
"250","bglB","b3721",1413
"251","bglF","b3722",1878
"252","bglG","b3723",837
"253","bglH","b3720",1617
"254","bglJ","b4366",678
"255","bglX","b2132",2298
"256","bhsA","b1112",258
"257","bioA","b0774",1290
"258","bioB","b0775",1041
"259","bioC","b0777",756
"260","bioD","b0778",678
"261","bioF","b0776",1155
"262","bioH","b3412",771
"263","bipA","b3871",1824
"264","birA","b3973",966
"265","bisC","b3551",2334
"266","blc","b4149",534
"267","blr","b4409",126
"268","bluF","b1163",1212
"269","bluR","b1162",732
"270","bolA","b0435",318
"271","borD","b0557",294
"272","brnQ","b0401",1320
"273","bsmA","b4189",330
"274","bssR","b0836",384
"275","bssS","b1060",255
"276","btuB","b3966",1845
"277","btuC","b1711",981
"278","btuD","b1709",750
"279","btuE","b1710",552
"280","btuF","b0158",801
"281","btuR","b1270",591
"282","cadA","b4131",2148
"283","cadB","b4132",1335
"284","cadC","b4133",1539
"285","caiA","b0039",1143
"286","caiB","b0038",1218
"287","caiC","b0037",1554
"288","caiD","b0036",786
"289","caiE","b0035",591
"290","caiF","b0034",396
"291","caiT","b0040",1515
"292","can","b0126",663
"293","carA","b0032",1149
"294","carB","b0033",3222
"295","cas1","b2755",918
"296","cas2","b2754",285
"297","cas3","b2761",2667
"298","casA","b2760",1509
"299","casB","b2759",483
"300","casC","b2758",1092
"301","casD","b2757",675
"302","casE","b2756",600
"303","cbeA","b2004",369
"304","cbl","b1987",951
"305","cbpA","b1000",921
"306","cbpM","b0999",306
"307","cbrA","b3690",1065
"308","cbrB","b3716",468
"309","cbrC","b3717",588
"310","cbtA","b2005",375
"311","cca","b3056",1239
"312","ccmA","b2201",624
"313","ccmB","b2200",663
"314","ccmC","b2199",738
"315","ccmD","b2198",210
"316","ccmE","b2197",480
"317","ccmF","b2196",1944
"318","ccmG","b2195",558
"319","ccmH","b2194",1053
"320","cdaR","b0162",1158
"321","cdd","b2143",885
"322","cdgI","b1785",1476
"323","cdh","b3918",756
"324","cdsA","b0175",858
"325","cedA","b1731",243
"326","cfa","b1661",1149
"327","chaA","b1216",1101
"328","chaB","b1217",231
"329","chaC","b1218",717
"330","chbA","b1736",351
"331","chbB","b1738",321
"332","chbC","b1737",1359
"333","chbF","b1734",1353
"334","chbG","b1733",750
"335","chbR","b1735",843
"336","cheA","b1888",1965
"337","cheB","b1883",1050
"338","cheR","b1884",861
"339","cheW","b1887",504
"340","cheY","b1882",390
"341","cheZ","b1881",645
"342","chiA","b3338",2694
"343","chiP","b0681",1407
"344","cho","b1741",888
"345","chpB","b4225",351
"346","chpS","b4224",252
"347","cirA","b2155",1992
"348","citC","b0618",1059
"349","citD","b0617",297
"350","citE","b0616",909
"351","citF","b0615",1533
"352","citG","b0613",879
"353","citT","b0612",1464
"354","citX","b0614",552
"355","clcA","b0155",1422
"356","clcB","b1592",1257
"357","clpA","b0882",2277
"358","clpB","b2592",2574
"359","clpP","b0437",624
"360","clpS","b0881",321
"361","clpX","b0438",1275
"362","clsA","b1249",1461
"363","clsB","b0789",1242
"364","clsC","b1046",1422
"365","cmk","b0910",684
"366","cmoA","b1870",744
"367","cmoB","b1871",972
"368","cmoM","b0921",786
"369","cmtA","b2933",1389
"370","cmtB","b2934",444
"371","cnu","b1625",216
"372","coaA","b3974",951
"373","coaD","b3634",480
"374","coaE","b0103",621
"375","cobB","b1120",840
"376","cobC","b0638",612
"377","cobS","b1992",744
"378","cobT","b1991",1080
"379","cobU","b1993",546
"380","codA","b0337",1284
"381","codB","b0336",1260
"382","cof","b0446",819
"383","comR","b1111",633
"384","copA","b0484",2505
"385","corA","b3816",951
"386","cpdA","b3032",828
"387","cpdB","b4213",1944
"388","cpoB","b0742",792
"389","cpsB","b2049",1437
"390","cpsG","b2048",1371
"391","cptA","b2896",408
"392","cpxA","b3911",1374
"393","cpxP","b4484",501
"394","cpxR","b3912",699
"395","cra","b0080",1005
"396","crcB","b0624",384
"397","creA","b4397",474
"398","creB","b4398",690
"399","creC","b4399",1425
"400","creD","b4400",1353
"401","crfC","b4109",2229
"402","crl","b0240",402
"403","crp","b3357",633
"404","crr","b2417",510
"405","csdA","b2810",1206
"406","csdE","b2811",444
"407","csgA","b1042",456
"408","csgB","b1041",456
"409","csgC","b1043",333
"410","csgD","b1040",651
"411","csgE","b1039",390
"412","csgF","b1038",417
"413","csgG","b1037",834
"414","csiD","b2659",978
"415","csiE","b2535",1281
"416","csiR","b2664",663
"417","cspA","b3556",213
"418","cspB","b1557",216
"419","cspC","b1823",210
"420","cspD","b0880",225
"421","cspE","b0623",210
"422","cspF","b1558",213
"423","cspG","b0990",213
"424","cspH","b0989",213
"425","cspI","b1552",213
"426","csrA","b2696",186
"427","csrD","b3252",1941
"428","cstA","b0598",2106
"429","cueO","b0123",1551
"430","cueR","b0487",408
"431","curA","b1449",1038
"432","cusA","b0575",3144
"433","cusB","b0574",1224
"434","cusC","b0572",1374
"435","cusF","b0573",333
"436","cusR","b0571",684
"437","cusS","b0570",1443
"438","cutA","b4137",339
"439","cutC","b1874",747
"440","cvpA","b2313",489
"441","cvrA","b1191",1737
"442","cyaA","b3806",2547
"443","cyaY","b3807",321
"444","cybB","b1418",531
"445","cycA","b4208",1413
"446","cydA","b0733",1569
"447","cydB","b0734",1140
"448","cydC","b0886",1722
"449","cydD","b0887",1767
"450","cydX","b4515",114
"451","cynR","b0338",900
"452","cynS","b0340",471
"453","cynT","b0339",660
"454","cynX","b0341",1155
"455","cyoA","b0432",948
"456","cyoB","b0431",1992
"457","cyoC","b0430",615
"458","cyoD","b0429",330
"459","cyoE","b0428",891
"460","cysA","b2422",1098
"461","cysB","b1275",975
"462","cysC","b2750",606
"463","cysD","b2752",909
"464","cysE","b3607",822
"465","cysG","b3368",1374
"466","cysH","b2762",735
"467","cysI","b2763",1713
"468","cysJ","b2764",1800
"469","cysK","b2414",972
"470","cysM","b2421",912
"471","cysN","b2751",1428
"472","cysP","b2425",1017
"473","cysQ","b4214",741
"474","cysS","b0526",1386
"475","cysU","b2424",834
"476","cysW","b2423",876
"477","cysZ","b2413",762
"478","cytR","b3934",1026
"479","dacA","b0632",1212
"480","dacB","b3182",1434
"481","dacC","b0839",1203
"482","dacD","b2010",1167
"483","dadA","b1189",1299
"484","dadX","b1190",1071
"485","dam","b3387",837
"486","damX","b3388",1287
"487","dapA","b2478",879
"488","dapB","b0031",822
"489","dapD","b0166",825
"490","dapE","b2472",1128
"491","dapF","b3809",825
"492","dauA","b1206",1680
"493","dbpA","b1343",1374
"494","dcd","b2065",582
"495","dcm","b1961",1419
"496","dcp","b1538",2046
"497","dcrB","b3472",558
"498","dctA","b3528",1287
"499","dctR","b3507",531
"500","dcuA","b4138",1302
"501","dcuB","b4123",1341
"502","dcuC","b0621",1386
"503","dcuD","b3227",1368
"504","dcuR","b4124",720
"505","dcuS","b4125",1632
"506","dcyD","b1919",987
"507","ddlA","b0381",1095
"508","ddlB","b0092",921
"509","ddpA","b1487",1551
"510","ddpB","b1486",1023
"511","ddpC","b1485",897
"512","ddpD","b1484",987
"513","ddpF","b1483",927
"514","ddpX","b1488",582
"515","deaD","b3162",1890
"516","dedA","b2317",660
"517","dedD","b2314",663
"518","def","b3287",510
"519","degP","b0161",1425
"520","degQ","b3234",1368
"521","degS","b3235",1068
"522","deoA","b4382",1323
"523","deoB","b4383",1224
"524","deoC","b4381",780
"525","deoD","b4384",720
"526","deoR","b0840",759
"527","der","b2511",1473
"528","dfp","b3639",1221
"529","dgcC","b0385",1116
"530","dgcE","b2067",3318
"531","dgcF","b1522",948
"532","dgcI","b0834",1329
"533","dgcJ","b1786",1491
"534","dgcM","b1341",1233
"535","dgcN","b2604",1227
"536","dgcP","b1794",1026
"537","dgcQ","b1956",1695
"538","dgcT","b1025",1359
"539","dgcZ","b1535",891
"540","dgkA","b4042",369
"541","dgoA","b4477",618
"542","dgoD","b4478",1149
"543","dgoK","b3693",879
"544","dgoR","b4479",690
"545","dgoT","b3691",1293
"546","dgt","b0160",1518
"547","dhaK","b1200",1071
"548","dhaL","b1199",633
"549","dhaM","b1198",1419
"550","dhaR","b1201",1920
"551","diaA","b3149",591
"552","dicA","b1570",408
"553","dicB","b1575",189
"554","dicC","b1569",231
"555","dinB","b0231",1056
"556","dinD","b3645",825
"557","dinF","b4044",1380
"558","dinG","b0799",2151
"559","dinI","b1061",246
"560","dinJ","b0226",261
"561","dinQ","b4613",84
"562","djlA","b0055",816
"563","djlB","b0646",1428
"564","djlC","b0649",1452
"565","dkgA","b3012",828
"566","dkgB","b0207",804
"567","dksA","b0145",456
"568","dld","b2133",1716
"569","dmlA","b1800",1086
"570","dmlR","b1799",924
"571","dmsA","b0894",2445
"572","dmsB","b0895",618
"573","dmsC","b0896",864
"574","dmsD","b1591",615
"575","dnaA","b3702",1404
"576","dnaB","b4052",1416
"577","dnaC","b4361",738
"578","dnaE","b0184",3483
"579","dnaG","b3066",1746
"580","dnaJ","b0015",1131
"581","dnaK","b0014",1917
"582","dnaN","b3701",1101
"583","dnaQ","b0215",732
"584","dnaT","b4362",540
"585","dnaX","b0470",1932
"586","dosC","b1490",1383
"587","dosP","b1489",2400
"588","dpiA","b0620",681
"589","dpiB","b0619",1659
"590","dppA","b3544",1608
"591","dppB","b3543",1020
"592","dppC","b3542",903
"593","dppD","b3541",984
"594","dppF","b3540",1005
"595","dps","b0812",504
"596","dsbA","b3860",627
"597","dsbB","b1185",531
"598","dsbC","b2893",711
"599","dsbD","b4136",1698
"600","dsbG","b0604",747
"601","dsdA","b2366",1329
"602","dsdC","b2364",936
"603","dsdX","b2365",1338
"604","dsrB","b1952",189
"605","dtd","b3887",438
"606","dtpA","b1634",1503
"607","dtpB","b3496",1470
"608","dtpC","b4130",1458
"609","dtpD","b0709",1482
"610","dusA","b4049",1038
"611","dusB","b3260",966
"612","dusC","b2140",948
"613","dut","b3640",456
"614","dxr","b0173",1197
"615","dxs","b0420",1863
"616","eaeH","b0297",888
"617","eamA","b1533",900
"618","eamB","b2578",588
"619","ebgA","b3076",3093
"620","ebgC","b3077",450
"621","ebgR","b3075",984
"622","ecnA","b4410",126
"623","ecnB","b4411",147
"624","eco","b2209",489
"625","ecpA","b0293",588
"626","ecpB","b0292",669
"627","ecpC","b0291",2526
"628","ecpD","b0290",1644
"629","ecpE","b0289",711
"630","ecpR","b0294",591
"631","eda","b1850",642
"632","edd","b1851",1812
"633","efeB","b1019",1272
"634","efeO","b1018",1128
"635","efeU_1","b1016",111
"636","efp","b4147",567
"637","elaA","b2267",462
"638","elaB","b2266",306
"639","elaD","b2269",1212
"640","elbB","b3209",654
"641","elfA","b0938",540
"642","elfC","b0940",2601
"643","elfD","b0939",702
"644","elfG","b0941",1071
"645","elyC","b0920",780
"646","emrA","b2685",1173
"647","emrB","b2686",1539
"648","emrD","b3673",1185
"649","emrE","b0543",333
"650","emrK","b2368",1164
"651","emrY","b2367",1539
"652","emtA","b1193",612
"653","endA","b2945",708
"654","eno","b2779",1299
"655","entA","b0596",747
"656","entB","b0595",858
"657","entC","b0593",1176
"658","entD","b0583",621
"659","entE","b0594",1611
"660","entF","b0586",3882
"661","entH","b0597",414
"662","entS","b0591",1251
"663","envC","b3613",1260
"664","envR","b3264",663
"665","envY","b0566",762
"666","envZ","b3404",1353
"667","epd","b2927",1020
"668","epmA","b4155",978
"669","epmB","b4146",1029
"670","epmC","b2326",549
"671","eptA","b4114",1644
"672","eptB","b3546",1692
"673","eptC","b3955",1734
"674","era","b2566",906
"675","erpA","b0156",345
"676","essD","b0554",216
"677","essQ","b1556",216
"678","etk","b0981",2181
"679","etp","b0982",447
"680","ettA","b4391",1668
"681","eutA","b2451",1404
"682","eutB","b2441",1362
"683","eutC","b2440",888
"684","eutD","b2458",1017
"685","eutE","b2455",1404
"686","eutG","b2453",1188
"687","eutH","b2452",1227
"688","eutJ","b2454",837
"689","eutK","b2438",501
"690","eutL","b2439",660
"691","eutM","b2457",294
"692","eutN","b2456",288
"693","eutP","b2461",480
"694","eutQ","b2460",702
"695","eutR","b2437",1053
"696","eutS","b2462",336
"697","eutT","b2459",804
"698","evgA","b2369",615
"699","evgS","b2370",3594
"700","exbB","b3006",735
"701","exbD","b3005",426
"702","exoX","b1844",663
"703","exuR","b3094",777
"704","exuT","b3093",1299
"705","fabA","b0954",519
"706","fabB","b2323",1221
"707","fabD","b1092",930
"708","fabF","b1095",1242
"709","fabG","b1093",735
"710","fabH","b1091",954
"711","fabI","b1288",789
"712","fabR","b3963",705
"713","fabZ","b0180",456
"714","fadA","b3845",1164
"715","fadB","b3846",2190
"716","fadD","b1805",1686
"717","fadE","b0221",2445
"718","fadH","b3081",2019
"719","fadI","b2342",1311
"720","fadJ","b2341",2145
"721","fadK","b1701",1701
"722","fadL","b2344",1347
"723","fadM","b0443",399
"724","fadR","b1187",720
"725","fau","b2912",549
"726","fbaA","b2925",1080
"727","fbaB","b2097",1053
"728","fbp","b4232",999
"729","fcl","b2052",966
"730","fdhD","b3895",834
"731","fdhE","b3891",930
"732","fdhF","b4079",2148
"733","fdnG","b1474",3048
"734","fdnH","b1475",885
"735","fdnI","b1476",654
"736","fdoG","b3894",3051
"737","fdoH","b3893",903
"738","fdoI","b3892",636
"739","fdrA","b0518",1668
"740","fdx","b2525",336
"741","feaB","b1385",1500
"742","feaR","b1384",906
"743","fecA","b4291",2325
"744","fecB","b4290",903
"745","fecC","b4289",999
"746","fecD","b4288",957
"747","fecE","b4287",768
"748","fecI","b4293",522
"749","fecR","b4292",954
"750","feoA","b3408",228
"751","feoB","b3409",2322
"752","feoC","b3410",237
"753","fepA","b0584",2241
"754","fepB","b0592",957
"755","fepC","b0588",816
"756","fepD","b0590",1005
"757","fepE","b0587",1134
"758","fepG","b0589",993
"759","fes","b0585",1203
"760","fetA","b0490",678
"761","fetB","b0491",780
"762","ffh","b2610",1362
"763","fhlA","b2731",2079
"764","fhuA","b0150",2244
"765","fhuB","b0153",1983
"766","fhuC","b0151",798
"767","fhuD","b0152",891
"768","fhuE","b1102",2190
"769","fhuF","b4367",789
"770","fic","b3361",603
"771","fieF","b3915",903
"772","fimA","b4314",549
"773","fimB","b4312",603
"774","fimC","b4316",726
"775","fimD","b4317",2637
"776","fimE","b4313",597
"777","fimF","b4318",531
"778","fimG","b4319",504
"779","fimH","b4320",903
"780","fimI","b4315",540
"781","fimZ","b0535",633
"782","fis","b3261",297
"783","fiu","b0805",2283
"784","fixA","b0041",771
"785","fixB","b0042",942
"786","fixC","b0043",1287
"787","fixX","b0044",288
"788","fklB","b4207",621
"789","fkpA","b3347",813
"790","fkpB","b0028",450
"791","fldA","b0684",531
"792","fldB","b2895",522
"793","flgA","b1072",660
"794","flgB","b1073",417
"795","flgC","b1074",405
"796","flgD","b1075",696
"797","flgE","b1076",1209
"798","flgF","b1077",756
"799","flgG","b1078",783
"800","flgH","b1079",699
"801","flgI","b1080",1098
"802","flgJ","b1081",942
"803","flgK","b1082",1644
"804","flgL","b1083",954
"805","flgM","b1071",294
"806","flgN","b1070",417
"807","flhA","b1879",2079
"808","flhB","b1880",1149
"809","flhC","b1891",579
"810","flhD","b1892",351
"811","flhE","b1878",393
"812","fliA","b1922",720
"813","fliC","b1923",1497
"814","fliD","b1924",1407
"815","fliE","b1937",315
"816","fliF","b1938",1659
"817","fliG","b1939",996
"818","fliH","b1940",687
"819","fliI","b1941",1374
"820","fliJ","b1942",444
"821","fliK","b1943",1128
"822","fliL","b1944",465
"823","fliM","b1945",1005
"824","fliN","b1946",414
"825","fliO","b1947",366
"826","fliP","b1948",738
"827","fliQ","b1949",270
"828","fliR","b1950",786
"829","fliS","b1925",411
"830","fliT","b1926",366
"831","fliZ","b1921",552
"832","flk","b2321",996
"833","flu","b2000",3120
"834","flxA","b1566",333
"835","fmt","b3288",948
"836","fnr","b1334",753
"837","focA","b0904",858
"838","focB","b2492",849
"839","folA","b0048",480
"840","folB","b3058",369
"841","folC","b2315",1269
"842","folD","b0529",867
"843","folE","b2153",669
"844","folK","b0142",480
"845","folM","b1606",723
"846","folP","b3177",849
"847","folX","b2303",363
"848","fpr","b3924",747
"849","frc","b2374",1251
"850","frdA","b4154",1809
"851","frdB","b4153",735
"852","frdC","b4152",396
"853","frdD","b4151",360
"854","fre","b3844",702
"855","frlA","b3370",1338
"856","frlB","b3371",1023
"857","frlC","b4474",831
"858","frlD","b3374",786
"859","frlR","b3375",732
"860","frmA","b0356",1110
"861","frmB","b0355",834
"862","frmR","b0357",276
"863","frr","b0172",558
"864","frsA","b0239",1245
"865","fruA","b2167",1692
"866","fruB","b2169",1131
"867","fruK","b2168",939
"868","frvA","b3900",447
"869","frvB","b3899",1452
"870","frvR","b3897",1749
"871","frvX","b3898",1071
"872","frwB","b3950",321
"873","frwC","b3949",1080
"874","frwD","b3953",342
"875","fryA","b2383",2496
"876","fryB","b2387",327
"877","fryC","b2386",1248
"878","fsaA","b0825",663
"879","fsaB","b3946",663
"880","fsr","b0479",1221
"881","ftnA","b1905",498
"882","ftnB","b1902",504
"883","ftp","b2214",1056
"884","ftsA","b0094",1263
"885","ftsB","b2748",312
"886","ftsE","b3463",669
"887","ftsH","b3178",1935
"888","ftsI","b0084",1767
"889","ftsK","b0890",3990
"890","ftsL","b0083",366
"891","ftsN","b3933",960
"892","ftsP","b3017",1413
"893","ftsQ","b0093",831
"894","ftsW","b0089",1245
"895","ftsX","b3462",1059
"896","ftsY","b3464",1494
"897","ftsZ","b0095",1152
"898","fucA","b2800",648
"899","fucI","b2802",1776
"900","fucK","b2803",1449
"901","fucO","b2799",1149
"902","fucP","b2801",1317
"903","fucR","b2805",732
"904","fucU","b2804",423
"905","fumA","b1612",1647
"906","fumB","b4122",1647
"907","fumC","b1611",1404
"908","fur","b0683",447
"909","fusA","b3340",2115
"910","fxsA","b4140",477
"911","gabD","b2661",1449
"912","gabP","b2663",1401
"913","gabT","b2662",1281
"914","gadA","b3517",1401
"915","gadB","b1493",1401
"916","gadC","b1492",1536
"917","gadE","b3512",528
"918","gadW","b3515",729
"919","gadX","b3516",825
"920","galE","b0759",1017
"921","galF","b2042",894
"922","galK","b0757",1149
"923","galM","b0756",1041
"924","galP","b2943",1395
"925","galR","b2837",1032
"926","galS","b2151",1041
"927","galT","b0758",1047
"928","galU","b1236",909
"929","gapA","b1779",996
"930","gapC_1","b1417",753
"931","gapC_2","b1416",252
"932","garD","b3128",1572
"933","garK","b3124",1227
"934","garL","b3126",771
"935","garP","b3127",1335
"936","garR","b3125",891
"937","gatA","b2094",453
"938","gatB","b2093",285
"939","gatC","b2092",1356
"940","gatD","b2091",1041
"941","gatR_1","b2087",447
"942","gatR_2","b2090",339
"943","gatY","b2096",855
"944","gatZ","b2095",1263
"945","gcd","b0124",2391
"946","gcl","b0507",1782
"947","gcvA","b2808",918
"948","gcvH","b2904",390
"949","gcvP","b2903",2874
"950","gcvR","b2479",573
"951","gcvT","b2905",1095
"952","gdhA","b1761",1344
"953","gfcA","b0987",306
"954","gfcB","b0986",645
"955","gfcC","b0985",747
"956","gfcD","b0984",2097
"957","gfcE","b0983",1140
"958","ggt","b3447",1743
"959","ghoS","b4128",297
"960","ghoT","b4559",174
"961","ghrA","b1033",939
"962","ghrB","b3553",975
"963","ghxP","b4064",1350
"964","ghxQ","b4464",1368
"965","glcA","b2975",1683
"966","glcB","b2976",2172
"967","glcC","b2980",765
"968","glcD","b2979",1500
"969","glcE","b4468",1053
"970","glcF","b4467",1224
"971","glcG","b2977",405
"972","gldA","b3945",1104
"973","glf","b2036",1104
"974","glgA","b3429",1434
"975","glgB","b3432",2187
"976","glgC","b3430",1296
"977","glgP","b3428",2448
"978","glgS","b3049",201
"979","glgX","b3431",1974
"980","glk","b2388",966
"981","glmM","b3176",1338
"982","glmS","b3729",1830
"983","glmU","b3730",1371
"984","glnA","b3870",1410
"985","glnB","b2553",339
"986","glnD","b0167",2673
"987","glnE","b3053",2841
"988","glnG","b3868",1410
"989","glnH","b0811",747
"990","glnK","b0450",339
"991","glnL","b3869",1050
"992","glnP","b0810",660
"993","glnQ","b0809",723
"994","glnS","b0680",1665
"995","gloA","b1651",408
"996","gloB","b0212",756
"997","gloC","b0927",648
"998","glpA","b2241",1629
"999","glpB","b2242",1260
"1000","glpC","b2243",1191
"1001","glpD","b3426",1506
"1002","glpE","b3425",327
"1003","glpF","b3927",846
"1004","glpG","b3424",831
"1005","glpK","b3926",1509
"1006","glpQ","b2239",1077
"1007","glpR","b3423",759
"1008","glpT","b2240",1359
"1009","glpX","b3925",1011
"1010","glrK","b2556",1428
"1011","glrR","b2554",1335
"1012","gltA","b0720",1284
"1013","gltB","b3212",4554
"1014","gltD","b3213",1419
"1015","gltF","b3214",765
"1016","gltI","b0655",909
"1017","gltJ","b0654",741
"1018","gltK","b0653",675
"1019","gltL","b0652",726
"1020","gltP","b4077",1314
"1021","gltS","b3653",1206
"1022","gltX","b2400",1416
"1023","gluQ","b0144",927
"1024","glvB","b3682",486
"1025","glvC","b3683",1107
"1026","glvG","b3681",639
"1027","glxK","b0514",1146
"1028","glxR","b0509",879
"1029","glyA","b2551",1254
